dataset,cat_name,id,end_use,year,scenario,0
heat_demand,commercial,ALB,cooking,2030.0,current,0.9878068727117457
heat_demand,commercial,AUT,cooking,2030.0,current,1.0217117489265028
heat_demand,commercial,BEL,cooking,2030.0,current,0.8432119924058262
heat_demand,commercial,BGR,cooking,2030.0,current,0.8409393200787086
heat_demand,commercial,BIH,cooking,2030.0,current,0.9878068727117457
heat_demand,commercial,CHE,cooking,2030.0,current,1.0217117489265028
heat_demand,commercial,CYP,cooking,2030.0,current,0.7530984870890601
heat_demand,commercial,CZE,cooking,2030.0,current,1.0730569007692512
heat_demand,commercial,DEU,cooking,2030.0,current,0.9812158029867889
heat_demand,commercial,DNK,cooking,2030.0,current,1.0320135595718252
heat_demand,commercial,ESP,cooking,2030.0,current,0.9915854261079718
heat_demand,commercial,EST,cooking,2030.0,current,1.1354411208675035
heat_demand,commercial,FIN,cooking,2030.0,current,1.0072992764333506
heat_demand,commercial,FRA,cooking,2030.0,current,0.981334756236589
heat_demand,commercial,GBR,cooking,2030.0,current,1.001957089494435
heat_demand,commercial,GRC,cooking,2030.0,current,0.8508434363665937
heat_demand,commercial,HRV,cooking,2030.0,current,0.960843952522712
heat_demand,commercial,HUN,cooking,2030.0,current,1.114546288771826
heat_demand,commercial,IRL,cooking,2030.0,current,1.0478324652931057
heat_demand,commercial,ISL,cooking,2030.0,current,1.0072992764333506
heat_demand,commercial,ITA,cooking,2030.0,current,0.8908693642204311
heat_demand,commercial,LTU,cooking,2030.0,current,1.1025412667252685
heat_demand,commercial,LUX,cooking,2030.0,current,1.053726805507461
heat_demand,commercial,LVA,cooking,2030.0,current,1.1048160130406979
heat_demand,commercial,MKD,cooking,2030.0,current,0.9878068727117457
heat_demand,commercial,MNE,cooking,2030.0,current,0.9878068727117457
heat_demand,commercial,NLD,cooking,2030.0,current,1.0068716520536045
heat_demand,commercial,NOR,cooking,2030.0,current,1.0846619101306254
heat_demand,commercial,POL,cooking,2030.0,current,1.0974316713440209
heat_demand,commercial,PRT,cooking,2030.0,current,0.8582314143724901
heat_demand,commercial,ROU,cooking,2030.0,current,1.171861365818888
heat_demand,commercial,SRB,cooking,2030.0,current,0.9878068727117457
heat_demand,commercial,SVK,cooking,2030.0,current,1.0739891435953772
heat_demand,commercial,SVN,cooking,2030.0,current,1.04911036014432
heat_demand,commercial,SWE,cooking,2030.0,current,1.0846619101306254
heat_demand,commercial,ALB,cooking,2030.0,government-directed,0.9878068727117457
heat_demand,commercial,AUT,cooking,2030.0,government-directed,1.0217117489265028
heat_demand,commercial,BEL,cooking,2030.0,government-directed,0.8432119924058262
heat_demand,commercial,BGR,cooking,2030.0,government-directed,0.8409393200787086
heat_demand,commercial,BIH,cooking,2030.0,government-directed,0.9878068727117457
heat_demand,commercial,CHE,cooking,2030.0,government-directed,1.0217117489265028
heat_demand,commercial,CYP,cooking,2030.0,government-directed,0.7530984870890601
heat_demand,commercial,CZE,cooking,2030.0,government-directed,1.0730569007692512
heat_demand,commercial,DEU,cooking,2030.0,government-directed,0.9812158029867889
heat_demand,commercial,DNK,cooking,2030.0,government-directed,1.0320135595718252
heat_demand,commercial,ESP,cooking,2030.0,government-directed,0.9915854261079718
heat_demand,commercial,EST,cooking,2030.0,government-directed,1.1354411208675035
heat_demand,commercial,FIN,cooking,2030.0,government-directed,1.0072992764333506
heat_demand,commercial,FRA,cooking,2030.0,government-directed,0.981334756236589
heat_demand,commercial,GBR,cooking,2030.0,government-directed,1.001957089494435
heat_demand,commercial,GRC,cooking,2030.0,government-directed,0.8508434363665937
heat_demand,commercial,HRV,cooking,2030.0,government-directed,0.960843952522712
heat_demand,commercial,HUN,cooking,2030.0,government-directed,1.114546288771826
heat_demand,commercial,IRL,cooking,2030.0,government-directed,1.0478324652931057
heat_demand,commercial,ISL,cooking,2030.0,government-directed,1.0072992764333506
heat_demand,commercial,ITA,cooking,2030.0,government-directed,0.8908693642204311
heat_demand,commercial,LTU,cooking,2030.0,government-directed,1.1025412667252685
heat_demand,commercial,LUX,cooking,2030.0,government-directed,1.053726805507461
heat_demand,commercial,LVA,cooking,2030.0,government-directed,1.1048160130406979
heat_demand,commercial,MKD,cooking,2030.0,government-directed,0.9878068727117457
heat_demand,commercial,MNE,cooking,2030.0,government-directed,0.9878068727117457
heat_demand,commercial,NLD,cooking,2030.0,government-directed,1.0068716520536045
heat_demand,commercial,NOR,cooking,2030.0,government-directed,1.0846619101306254
heat_demand,commercial,POL,cooking,2030.0,government-directed,1.0974316713440209
heat_demand,commercial,PRT,cooking,2030.0,government-directed,0.8582314143724901
heat_demand,commercial,ROU,cooking,2030.0,government-directed,1.171861365818888
heat_demand,commercial,SRB,cooking,2030.0,government-directed,0.9878068727117457
heat_demand,commercial,SVK,cooking,2030.0,government-directed,1.0739891435953772
heat_demand,commercial,SVN,cooking,2030.0,government-directed,1.04911036014432
heat_demand,commercial,SWE,cooking,2030.0,government-directed,1.0846619101306254
heat_demand,commercial,ALB,cooking,2030.0,market-driven,0.9654322706191731
heat_demand,commercial,AUT,cooking,2030.0,market-driven,1.0000766357152657
heat_demand,commercial,BEL,cooking,2030.0,market-driven,0.8268908706728626
heat_demand,commercial,BGR,cooking,2030.0,market-driven,0.8294515488060817
heat_demand,commercial,BIH,cooking,2030.0,market-driven,0.9654322706191731
