carrier_name,end_use,country_code,unit,year,0
biofuel,cooking,PL,ktoe,2000,0
biofuel,cooking,PL,ktoe,2001,0
biofuel,cooking,PL,ktoe,2002,0
biofuel,cooking,PL,ktoe,2003,0
biofuel,cooking,PL,ktoe,2004,0
biofuel,cooking,PL,ktoe,2005,0
biofuel,cooking,PL,ktoe,2006,0
biofuel,cooking,PL,ktoe,2007,0
biofuel,cooking,PL,ktoe,2008,0
biofuel,cooking,PL,ktoe,2009,0
biofuel,cooking,PL,ktoe,2010,0
biofuel,cooking,PL,ktoe,2011,0
biofuel,cooking,PL,ktoe,2012,0
biofuel,cooking,PL,ktoe,2013,0
biofuel,cooking,PL,ktoe,2014,0
biofuel,cooking,PL,ktoe,2015,0
biofuel,space_heat,PL,ktoe,2000,197.4156204
biofuel,space_heat,PL,ktoe,2001,132.9393467
biofuel,space_heat,PL,ktoe,2002,132.5695787
biofuel,space_heat,PL,ktoe,2003,131.9017913
biofuel,space_heat,PL,ktoe,2004,136.8004449
biofuel,space_heat,PL,ktoe,2005,141.1144229
biofuel,space_heat,PL,ktoe,2006,101.3496774
biofuel,space_heat,PL,ktoe,2007,121.0607083
biofuel,space_heat,PL,ktoe,2008,109.3647878
biofuel,space_heat,PL,ktoe,2009,160.7390236
biofuel,space_heat,PL,ktoe,2010,180.4558444
biofuel,space_heat,PL,ktoe,2011,175.7091497
biofuel,space_heat,PL,ktoe,2012,151.7068841
biofuel,space_heat,PL,ktoe,2013,175.1451604
biofuel,space_heat,PL,ktoe,2014,149.4656209
biofuel,space_heat,PL,ktoe,2015,147.824141
biofuel,water_heat,PL,ktoe,2000,6.963679837
biofuel,water_heat,PL,ktoe,2001,6.173103286
biofuel,water_heat,PL,ktoe,2002,7.417251304
biofuel,water_heat,PL,ktoe,2003,7.431458665
biofuel,water_heat,PL,ktoe,2004,7.504715106
biofuel,water_heat,PL,ktoe,2005,7.519633339
biofuel,water_heat,PL,ktoe,2006,8.676922621
biofuel,water_heat,PL,ktoe,2007,10.53229168
biofuel,water_heat,PL,ktoe,2008,11.56434216
biofuel,water_heat,PL,ktoe,2009,11.86309638
biofuel,water_heat,PL,ktoe,2010,11.9343837
biofuel,water_heat,PL,ktoe,2011,12.11936168
biofuel,water_heat,PL,ktoe,2012,12.38003041
biofuel,water_heat,PL,ktoe,2013,12.44449873
biofuel,water_heat,PL,ktoe,2014,12.63892897
biofuel,water_heat,PL,ktoe,2015,12.799779
electricity,cooking,PL,ktoe,2000,246.9342457
electricity,cooking,PL,ktoe,2001,281.7830262
electricity,cooking,PL,ktoe,2002,318.4588706
electricity,cooking,PL,ktoe,2003,352.238967
electricity,cooking,PL,ktoe,2004,369.5739108
electricity,cooking,PL,ktoe,2005,380.15534
electricity,cooking,PL,ktoe,2006,397.8527593
electricity,cooking,PL,ktoe,2007,429.2742475
electricity,cooking,PL,ktoe,2008,467.4586118
electricity,cooking,PL,ktoe,2009,504.6987911
electricity,cooking,PL,ktoe,2010,508.7368855
electricity,cooking,PL,ktoe,2011,479.7121709
electricity,cooking,PL,ktoe,2012,466.8797565
electricity,cooking,PL,ktoe,2013,463.2023449
electricity,cooking,PL,ktoe,2014,470.8575882
electricity,cooking,PL,ktoe,2015,472.7056051
electricity,end_use_electricity,PL,ktoe,2000,1423.525726
electricity,end_use_electricity,PL,ktoe,2001,1454.429735
electricity,end_use_electricity,PL,ktoe,2002,1483.445241
electricity,end_use_electricity,PL,ktoe,2003,1527.417813
electricity,end_use_electricity,PL,ktoe,2004,1593.745476
electricity,end_use_electricity,PL,ktoe,2005,1663.482638
electricity,end_use_electricity,PL,ktoe,2006,1759.03527
electricity,end_use_electricity,PL,ktoe,2007,1857.416704
electricity,end_use_electricity,PL,ktoe,2008,1945.046591
electricity,end_use_electricity,PL,ktoe,2009,2015.712776
electricity,end_use_electricity,PL,ktoe,2010,2043.315668
electricity,end_use_electricity,PL,ktoe,2011,2088.418729
electricity,end_use_electricity,PL,ktoe,2012,2124.899602
electricity,end_use_electricity,PL,ktoe,2013,2142.191971
electricity,end_use_electricity,PL,ktoe,2014,2178.147112
electricity,end_use_electricity,PL,ktoe,2015,2194.463814
electricity,space_heat,PL,ktoe,2000,572.5792324
electricity,space_heat,PL,ktoe,2001,626.9461538
electricity,space_heat,PL,ktoe,2002,485.951876
electricity,space_heat,PL,ktoe,2003,535.5217485
electricity,space_heat,PL,ktoe,2004,524.9242051
electricity,space_heat,PL,ktoe,2005,628.357569
electricity,space_heat,PL,ktoe,2006,781.1276182
electricity,space_heat,PL,ktoe,2007,661.8889332
electricity,space_heat,PL,ktoe,2008,850.9433338
electricity,space_heat,PL,ktoe,2009,674.415799
electricity,space_heat,PL,ktoe,2010,932.8709967
electricity,space_heat,PL,ktoe,2011,951.3072005
electricity,space_heat,PL,ktoe,2012,943.3729
electricity,space_heat,PL,ktoe,2013,792.9693612
electricity,space_heat,PL,ktoe,2014,924.7130014
electricity,space_heat,PL,ktoe,2015,896.3978335
