source,product,data_type,sink_temp,source_temp,0
air,AW 30 EVI,Heating capacity,35,-20,19.58
air,AW 30 EVI,Heating capacity,35,-19,19.98
air,AW 30 EVI,Heating capacity,35,-18,20.37
air,AW 30 EVI,Heating capacity,35,-17,20.77
air,AW 30 EVI,Heating capacity,35,-16,21.17
air,AW 30 EVI,Heating capacity,35,-15,21.88
air,AW 30 EVI,Heating capacity,35,-14,22.38
air,AW 30 EVI,Heating capacity,35,-13,22.88
air,AW 30 EVI,Heating capacity,35,-12,23.38
air,AW 30 EVI,Heating capacity,35,-11,23.88
air,AW 30 EVI,Heating capacity,35,-10,24.38
air,AW 30 EVI,Heating capacity,35,-9,24.88
air,AW 30 EVI,Heating capacity,35,-8,25.38
air,AW 30 EVI,Heating capacity,35,-7,26.3
air,AW 30 EVI,Heating capacity,35,-6,26.69
air,AW 30 EVI,Heating capacity,35,-5,27.07
air,AW 30 EVI,Heating capacity,35,-4,27.46
air,AW 30 EVI,Heating capacity,35,-3,27.84
air,AW 30 EVI,Heating capacity,35,-2,28.23
air,AW 30 EVI,Heating capacity,35,-1,28.61
air,AW 30 EVI,Heating capacity,35,0,29.0
air,AW 30 EVI,Heating capacity,35,1,29.7
air,AW 30 EVI,Heating capacity,35,2,30.5
air,AW 30 EVI,Heating capacity,35,3,31.43
air,AW 30 EVI,Heating capacity,35,4,32.43
air,AW 30 EVI,Heating capacity,35,5,33.53
air,AW 30 EVI,Heating capacity,35,6,34.44
air,AW 30 EVI,Heating capacity,35,7,35.58
air,AW 30 EVI,Heating capacity,35,8,37.63
air,AW 30 EVI,Heating capacity,35,9,39.22
air,AW 30 EVI,Heating capacity,35,10,41.08
air,AW 30 EVI,Heating capacity,35,11,41.61
air,AW 30 EVI,Heating capacity,35,12,42.19
air,AW 30 EVI,Heating capacity,35,13,43.22
air,AW 30 EVI,Heating capacity,35,14,43.97
air,AW 30 EVI,Heating capacity,35,15,44.69
air,AW 30 EVI,Heating capacity,35,16,45.1
air,AW 30 EVI,Heating capacity,35,17,45.77
air,AW 30 EVI,Heating capacity,35,18,46.3
air,AW 30 EVI,Heating capacity,35,19,46.84
air,AW 30 EVI,Heating capacity,35,20,47.38
air,AW 30 EVI,Heating capacity,45,-20,19.62
air,AW 30 EVI,Heating capacity,45,-19,20.06
air,AW 30 EVI,Heating capacity,45,-18,20.51
air,AW 30 EVI,Heating capacity,45,-17,20.95
air,AW 30 EVI,Heating capacity,45,-16,21.4
air,AW 30 EVI,Heating capacity,45,-15,22.24
air,AW 30 EVI,Heating capacity,45,-14,22.72
air,AW 30 EVI,Heating capacity,45,-13,23.2
air,AW 30 EVI,Heating capacity,45,-12,23.68
air,AW 30 EVI,Heating capacity,45,-11,24.17
air,AW 30 EVI,Heating capacity,45,-10,24.65
air,AW 30 EVI,Heating capacity,45,-9,25.13
air,AW 30 EVI,Heating capacity,45,-8,25.61
air,AW 30 EVI,Heating capacity,45,-7,26.52
air,AW 30 EVI,Heating capacity,45,-6,26.92
air,AW 30 EVI,Heating capacity,45,-5,27.31
air,AW 30 EVI,Heating capacity,45,-4,27.7
air,AW 30 EVI,Heating capacity,45,-3,28.1
air,AW 30 EVI,Heating capacity,45,-2,28.49
air,AW 30 EVI,Heating capacity,45,-1,28.88
air,AW 30 EVI,Heating capacity,45,0,29.28
air,AW 30 EVI,Heating capacity,45,1,30.0
air,AW 30 EVI,Heating capacity,45,2,30.72
air,AW 30 EVI,Heating capacity,45,3,31.69
air,AW 30 EVI,Heating capacity,45,4,32.72
air,AW 30 EVI,Heating capacity,45,5,33.86
air,AW 30 EVI,Heating capacity,45,6,34.8
air,AW 30 EVI,Heating capacity,45,7,36.0
air,AW 30 EVI,Heating capacity,45,8,37.74
air,AW 30 EVI,Heating capacity,45,9,39.63
air,AW 30 EVI,Heating capacity,45,10,41.5
air,AW 30 EVI,Heating capacity,45,11,41.97
air,AW 30 EVI,Heating capacity,45,12,42.45
air,AW 30 EVI,Heating capacity,45,13,43.38
air,AW 30 EVI,Heating capacity,45,14,44.02
air,AW 30 EVI,Heating capacity,45,15,44.6
air,AW 30 EVI,Heating capacity,45,16,44.98
air,AW 30 EVI,Heating capacity,45,17,45.61
air,AW 30 EVI,Heating capacity,45,18,46.12
air,AW 30 EVI,Heating capacity,45,19,46.63
air,AW 30 EVI,Heating capacity,45,20,47.52
air,AW 30 EVI,Heating capacity,55,-20,20.26
air,AW 30 EVI,Heating capacity,55,-19,20.68
air,AW 30 EVI,Heating capacity,55,-18,21.09
air,AW 30 EVI,Heating capacity,55,-17,21.5
air,AW 30 EVI,Heating capacity,55,-16,21.92
air,AW 30 EVI,Heating capacity,55,-15,22.71
air,AW 30 EVI,Heating capacity,55,-14,23.16
air,AW 30 EVI,Heating capacity,55,-13,23.61
air,AW 30 EVI,Heating capacity,55,-12,24.07
air,AW 30 EVI,Heating capacity,55,-11,24.52
air,AW 30 EVI,Heating capacity,55,-10,24.97
air,AW 30 EVI,Heating capacity,55,-9,25.42
air,AW 30 EVI,Heating capacity,55,-8,25.87
air,AW 30 EVI,Heating capacity,55,-7,26.74
air,AW 30 EVI,Heating capacity,55,-6,27.15
air,AW 30 EVI,Heating capacity,55,-5,27.57
air,AW 30 EVI,Heating capacity,55,-4,27.98
air,AW 30 EVI,Heating capacity,55,-3,28.39
air,AW 30 EVI,Heating capacity,55,-2,28.8
air,AW 30 EVI,Heating capacity,55,-1,29.21
air,AW 30 EVI,Heating capacity,55,0,29.62
air,AW 30 EVI,Heating capacity,55,1,30.36
air,AW 30 EVI,Heating capacity,55,2,31.08
air,AW 30 EVI,Heating capacity,55,3,32.12
air,AW 30 EVI,Heating capacity,55,4,33.23
air,AW 30 EVI,Heating capacity,55,5,34.44
air,AW 30 EVI,Heating capacity,55,6,35.46
air,AW 30 EVI,Heating capacity,55,7,36.66
air,AW 30 EVI,Heating capacity,55,8,38.39
air,AW 30 EVI,Heating capacity,55,9,40.26
air,AW 30 EVI,Heating capacity,55,10,42.1
air,AW 30 EVI,Heating capacity,55,11,42.56
air,AW 30 EVI,Heating capacity,55,12,43.06
air,AW 30 EVI,Heating capacity,55,13,44.01
air,AW 30 EVI,Heating capacity,55,14,44.68
air,AW 30 EVI,Heating capacity,55,15,45.26
air,AW 30 EVI,Heating capacity,55,16,45.63
air,AW 30 EVI,Heating capacity,55,17,46.25
air,AW 30 EVI,Heating capacity,55,18,46.75
air,AW 30 EVI,Heating capacity,55,19,47.24
air,AW 30 EVI,Heating capacity,55,20,47.74
air,AW 30 EVI,Heating capacity,65,-20,20.65
air,AW 30 EVI,Heating capacity,65,-19,21.03
air,AW 30 EVI,Heating capacity,65,-18,21.41
air,AW 30 EVI,Heating capacity,65,-17,21.79
air,AW 30 EVI,Heating capacity,65,-16,22.17
air,AW 30 EVI,Heating capacity,65,-15,22.93
air,AW 30 EVI,Heating capacity,65,-14,23.35
air,AW 30 EVI,Heating capacity,65,-13,23.77
air,AW 30 EVI,Heating capacity,65,-12,24.18
air,AW 30 EVI,Heating capacity,65,-11,24.6
air,AW 30 EVI,Heating capacity,65,-10,25.02
