energy_carrier,cat_name,country_name,space_heating,process_heating_0_100,process_heating_100_200,process_heating_200_500,process_heating_500+
Ambient heat,Iron and Steel,Austria,0,0,0,0,0
Ambient heat,Iron and Steel,Belgium,0,0,0,0,0
Ambient heat,Iron and Steel,Bulgaria,0,0,0,0,0
Ambient heat,Iron and Steel,Croatia,0,0,0,0,0
Ambient heat,Iron and Steel,Cyprus,0,0,0,0,0
Ambient heat,Iron and Steel,Czech Republic,0,0,0,0,0
Ambient heat,Iron and Steel,Denmark,0,0,0,0,0
Ambient heat,Iron and Steel,Estonia,0,0,0,0,0
Ambient heat,Iron and Steel,Finland,0,0,0,0,0
Ambient heat,Iron and Steel,France,0,0,0,0,0
Ambient heat,Iron and Steel,Germany,0,0,0,0,0
Ambient heat,Iron and Steel,Greece,0,0,0,0,0
Ambient heat,Iron and Steel,Hungary,0,0,0,0,0
Ambient heat,Iron and Steel,Ireland,0,0,0,0,0
Ambient heat,Iron and Steel,Italy,0,0,0,0,0
Ambient heat,Iron and Steel,Latvia,0,0,0,0,0
Ambient heat,Iron and Steel,Lithuania,0,0,0,0,0
Ambient heat,Iron and Steel,Luxembourg,0,0,0,0,0
Ambient heat,Iron and Steel,Malta,0,0,0,0,0
Ambient heat,Iron and Steel,Netherlands,0,0,0,0,0
Ambient heat,Iron and Steel,Poland,0,0,0,0,0
Ambient heat,Iron and Steel,Portugal,0,0,0,0,0
Ambient heat,Iron and Steel,Romania,0,0,0,0,0
Ambient heat,Iron and Steel,Slovakia,0,0,0,0,0
Ambient heat,Iron and Steel,Slovenia,0,0,0,0,0
Ambient heat,Iron and Steel,Spain,0,0,0,0,0
Ambient heat,Iron and Steel,Sweden,0,0,0,0,0
Ambient heat,Iron and Steel,United Kingdom,0,0,0,0,0
Ambient heat,Chemical and Petrochemical,Austria,0,0,0,0,0
Ambient heat,Chemical and Petrochemical,Belgium,0,0,0,0,0
Ambient heat,Chemical and Petrochemical,Bulgaria,0,0,0,0,0
Ambient heat,Chemical and Petrochemical,Croatia,0,0,0,0,0
Ambient heat,Chemical and Petrochemical,Cyprus,0,0,0,0,0
Ambient heat,Chemical and Petrochemical,Czech Republic,0,0,0,0,0
Ambient heat,Chemical and Petrochemical,Denmark,0,0,0,0,0
Ambient heat,Chemical and Petrochemical,Estonia,0,0,0,0,0
