"SiteID";"CompanyName";"SiteName";"Address";"CityCode";"City";"Country";"geom";"Subsector";"DataSource";"Emissions_ETS_2014";"Emissions_EPRTR_2014";"Production";"Fuel_Demand";"Excess_Heat_100-200C";"Excess_Heat_200-500C";"Excess_Heat_500C";"Excess_Heat_Total"
1;"voestalpine AG";"voestalpine Stahl Donawitz GesmbH";"Kerpelystrasse 199";"8700";"Leoben";"Austria";"SRID=4326;POINT(15.067806 47.03378)";"Iron and steel";"ETS/EPRTR";2808536.00;2810000.00;2726675.56;6346.15;192.34;173.66;0.00;366.01
2;"voestalpine AG";"voestalpine Stahl GmbH";"voestalpine-Strasse 3";"4020";"Linz";"Austria";"SRID=4326;POINT(14.343056 48.281944)";"Iron and steel";"ETS/EPRTR";8698426.00;8660000.00;8444892.86;19732.48;595.71;330.48;40.16;966.36
3;"Schmid Industrieholding";"Wopfinger Baustoffindustrie";"Wopfing 156";"2754";"Waldegg";"Austria";"SRID=4326;POINT(16.085917 47.87225)";"Cement";"ETS/EPRTR";364798.00;408000.00;477398.78;464.13;0.00;69.62;0.00;69.62
4;"OMV Refining and Marketing GmbH";"OMV Refining and Marketing GmbH";"Mannswörther Strasse 28";"2320";"Schwechat";"Austria";"SRID=4326;POINT(16.493889 48.144722)";"Refineries";"ETS/EPRTR";2713186.00;2710000.00;;;0.00;0.00;0.00;0.00
5;"Zementwerk Hatschek GmbH";"Zementwerk Hatschek GmbH";"Hatschekstrasse 25";"4810";"Gmunden";"Austria";"SRID=4326;POINT(13.778 47.92278)";"Cement";"ETS/EPRTR";331127.00;348000.00;607683.04;590.80;0.00;88.62;0.00;88.62
6;"w&p GmbH";"w&p Zement GmbH";"Wietersdorf 1";"9373";"Klein St. Paul";"Austria";"SRID=4326;POINT(14.533056 46.850555)";"Cement";"ETS/EPRTR";397425.00;;729352.88;709.09;0.00;106.36;0.00;106.36
7;"w&p GmbH";"w&p Zement GmbH";"Alois Kern Strasse 1";"8120";"Peggau";"Austria";"SRID=4326;POINT(15.345833 47.212776)";"Cement";"ETS/EPRTR";89812.00;;;;0.00;0.00;0.00;0.00
8;"Lafarge SA";"Lafarge Zementwerke GmbH";"Retznei 34";"8461";"Retznei";"Austria";"SRID=4326;POINT(15.58 46.728058)";"Cement";"ETS/EPRTR";269972.00;302000.00;495451.61;481.68;0.00;72.25;0.00;72.25
9;"Lafarge SA";"Lafarge Zementwerke GmbH";"Wienerstrasse 10";"2452";"Mannersdorf";"Austria";"SRID=4326;POINT(16.6 47.983334)";"Cement";"ETS/EPRTR";594014.00;594000.00;1090132.28;1059.85;0.00;158.97;0.00;158.97
10;"Nettingsdorfer Service Center";"Nettingsdorfer Papierfabrik AG & Co KG";"Nettingsdorfer Strasse 40";"4053";"Haid beiAnsfelden";"Austria";"SRID=4326;POINT(14.256111 48.183056)";"Paper and printing";"ETS/EPRTR";67692.00;;;;0.00;0.00;0.00;0.00
11;"Kirchdorfer Zementbeteiligungs G";"Kirchdorfer Zementwerk Hofmann GmbH";"Hofmannstrasse 4";"4560";"Kirchdorf an der Krems";"Austria";"SRID=4326;POINT(14.117556 47.907205)";"Cement";"ETS/EPRTR";203595.00;204000.00;373636.78;363.25;0.00;54.48;0.00;54.48
12;"Sappi Papier Holding GmbH";"Sappi Austria Produktions-GmbH & Co. KG";"Brucker Strasse 21";"8101";"Gratkorn";"Austria";"SRID=4326;POINT(15.334056 47.13411)";"Paper and printing";"ETS/EPRTR";322366.00;869000.00;;;0.00;0.00;0.00;0.00
13;"Borealis AG";"Borealis Polyolefine GmbH";"Danubiastrasse 21-25";"2320";"Schwechat";"Austria";"SRID=4326;POINT(16.520111 48.136)";"Chemical industry";"ETS/EPRTR";14510.00;;;;0.00;0.00;0.00;0.00
14;"SPB-Beteligungsgesellschaft";"Schweighofer Fiber GmbH";"Salzachtalstrasse 88";"5400";"Hallein";"Austria";"SRID=4326;POINT(13.108722 47.67575)";"Paper and printing";"ETS/EPRTR";1227.00;417000.00;;;0.00;0.00;0.00;0.00
15;"Mayr-Melnhof Karton AG";"Mayr-Melnhof Karton Gesellschaft m.b.H.";"Wannersdorf 80";"8130";"Frohnleiten";"Austria";"SRID=4326;POINT(15.328056 47.278057)";"Paper and printing";"ETS/EPRTR";123161.00;128000.00;;;0.00;0.00;0.00;0.00
16;"Norske Skogindustrier ASA";"Norske Skog Bruck GmbH";"Fabriksgasse 10";"8600";"Bruck an der Mur";"Austria";"SRID=4326;POINT(15.277111 47.416862)";"Paper and printing";"ETS/EPRTR";181184.00;265000.00;;;0.00;0.00;0.00;0.00
17;"Prinzhorn Holding";"W. Hamburger GmbH";"Aspanger Strasse 252";"2823";"Pitten";"Austria";"SRID=4326;POINT(16.133333 47.683334)";"Paper and printing";"ETS/EPRTR";169934.00;199000.00;;;0.00;0.00;0.00;0.00
