,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
INE266,,,,,,,,,49557,51868,59938,63266,69453,70395,73385
INE265,,,,,,,,,12580,14041,16113,17237,20084,21923,22778
ICH264,,,,,,,,,28982,27207,29794,30421,26425,27768,27429
EVS228,,,,,,,,,83130,76802,72769,74481,78119,71219,70721
IKA119,41399,42708,51041,57009,44299,45808,47922,49810,50105,50308,41989,45142,48681,42302,46415
IKA208,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKA244,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKA245,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES288,,,,,,,,,14647,15074,15523,14662,14464,14841,14957
ICH226,,,,,,,,,790678,924599,896718,945034,880922,705651,962179
ICH227,0,0,0,0,0,63988,48326,53173,48508,48024,46856,36374,38998,56719,81598
ICH109,13944,19398,19276,30701,30803,44749,43298,40451,20717,14510,12968,13753,11702,10125,11800
IES069,12104,12256,14976,17523,16815,15963,19328,16434,19734,18498,17366,17233,21031,23457,26777
IPA094,3361,3488,3508,3246,3262,3570,3475,3658,3560,3874,3548,3639,3928,3759,3424
IZI157,10045,9154,8521,8345,8144,8319,8257,4344,4548,3759,6146,6077,8244,7071,9358
ICH108,1371,1231,644,1203,855,404,264,320,16663,17923,18161,18188,20052,20139,20111
ICH300,,,,,,,,,,,,92873,93814,93492,93694
ICH115,1639,1536,1680,0,0,0,0,0,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,
IKA118,24591,37364,49559,43916,35937,30419,32757,28348,28113,26343,29823,28079,26945,22541,22549
IPA080,75793,73792,74079,76174,74859,75762,74029,72638,72736,71829,70734,72513,72058,73143,73393
IPA096,31798,37118,38763,35780,31837,36376,33556,33252,32695,31830,32853,33946,33480,35180,36744
IPA086,40936,42436,35990,32331,33767,35701,36133,36874,45995,34271,44700,40088,42561,42953,38419
IZE077,369924,397422,397936,385307,356692,310139,327781,344237,281768,331127,328182,331383,367391,328580,253322
IZI137,10835,11527,13507,12299,8583,9493,8552,7441,6821,0,,,,,
IKA124,117078,117471,118726,135519,131537,127624,125030,127155,51611,60564,64894,70298,65576,74210,83498
IKA121,134306,109795,120094,127437,81786,92829,112283,122691,88827,104663,96957,88464,109861,132986,138751
ISA273,,,,,,,,,28305,28244,28186,28754,27910,29497,29007
IZE072,584257,623883,708917,720857,613361,601677,535516,566554,598660,594014,617406,610830,539340,601756,610139
IZE073,327304,314811,319996,337266,261992,241277,276666,290770,278083,269972,308842,316567,323694,326094,300968
IZI149,12523,18827,20139,19772,15558,15592,15706,15687,15502,14507,14574,15029,15485,15008,14685
ICH117,142719,184952,153865,137466,149948,154426,128527,124684,151139,209191,197638,204162,227064,212297,172994
IPA286,,,,,,,,,1566,1934,1821,1240,988,1015,975
ISA201,8856,4675,4686,5643,3353,3453,3772,2361,2148,4231,3116,3255,2815,2079,2913
IPA089,116736,86557,75948,69760,31405,7692,5238,6041,1637,1227,1274,1057,1058,1082,2059
IPA092,136677,142730,138121,119250,110232,119180,114237,117030,128111,123161,129085,130054,134398,142939,147384
IPA095,29812,29172,29865,25447,25075,28147,26789,27080,26047,25601,26656,27336,26663,26545,27836
IPA098,4180,4507,4741,4398,3703,3974,3806,3794,3825,3527,3782,3782,3818,3747,3930
IPA093,49520,49761,48721,45753,46480,46585,45223,34043,7995,,,,,,
INE269,,,,,,,,,40778,39689,39684,39556,34815,36228,36151
IPA090,89797,83728,87308,74893,69853,75790,69018,63190,67686,67692,66093,63130,57843,58292,56979
IPA083,110659,111329,95965,107189,106188,103573,100542,103244,96399,94585,97324,102534,99099,93451,84083
IPA084,37378,39557,35640,34366,32053,33266,31086,30936,27697,29228,28033,28591,27626,23406,24153
IPA085,11277,11064,10800,9378,8933,8857,8235,8341,7349,8148,7456,9599,9983,9592,8184
IPA091,227496,216089,210166,220644,198720,205075,215193,197065,171672,181184,179917,171130,192959,205657,199666
IPA082,172698,177130,173453,172316,177170,179906,184579,167476,172523,169934,173434,168027,176722,177775,165791
IPA079,25847,26483,26944,27234,25044,26712,27347,24288,24393,23794,24445,25338,25034,26805,21151
IPA100,4678,4689,4470,4728,4453,4980,4993,4819,5407,4868,4639,4354,4076,3786,3467
EMV061,2826917,2829983,2867629,2565047,2567934,2490464,2530318,2592526,2826640,2713186,2804050,2784461,2738604,2824369,2791040
IFE129,9373,9953,9421,8073,7507,8484,9554,9193,8227,8282,6922,8258,7307,7517,7711
IPA081,25795,26545,25864,26408,25538,25347,24097,22248,22841,23139,24177,23522,24505,23889,23921
IPA101,2732,2819,2688,2428,1924,1905,2067,2217,2171,2181,2248,2351,2322,2365,2329
IGL181,9970,10865,9851,8866,8042,6869,6823,6633,5830,6576,5950,,,,
ISA271,,,,,,,,,21469,21243,20566,21807,21762,22517,23418
IPA088,401123,407679,400376,320065,314213,317873,295387,296691,345961,322366,402966,358315,392080,432151,419088
IKA123,40685,39744,36827,41124,36047,30110,34768,35771,36645,36166,30786,38203,38941,37411,35934
IZE071,175105,201232,200351,181920,168590,152852,164198,168349,171502,160376,183794,176285,161201,174201,174684
EVS221,,,,,,,,,28422,30192,36792,31883,38879,37485,35955
IVA065,1790128,1917452,1925594,2279216,1433638,1469754,1681929,1517232,2918014,2808536,2981508,2772530,3075201,2923552,2846643
IES067,30379,32062,33772,33049,21612,30709,32771,32720,129491,129553,120119,119613,128767,132562,129297
IES070,25007,26462,30667,29149,28656,25707,24423,25611,38756,37540,38492,36995,37179,36047,36550
IPA087,248827,195532,253830,234457,197632,232532,248048,248914,157247,79249,72952,68613,57097,35161,36125
IFE292,,,,,,,,,36761,34416,33222,37673,35127,36657,36140
IGL176,34313,34590,42064,49066,42925,48043,47471,47486,46053,46454,47901,49973,49527,49485,51131
IGL179,33058,33032,31535,19611,13798,17475,17123,15405,21318,13951,10937,8500,8928,8671,8605
IGL174,6584,6540,6335,6188,5316,7090,7975,7284,7180,6975,6511,6128,7271,7658,7363
EVS220,,,,,,,,,3104,1902,4015,4778,7053,2869,211
IZI131,20683,21254,20894,24339,20052,22887,22895,22603,23601,24124,22927,23863,23338,22018,23827
IZI139,16619,13581,17481,16563,12665,12141,12678,11165,7286,8783,7509,8259,8034,9443,9678
IZI135,8615,8536,8999,8772,6051,6699,5787,3436,0,0,0,,,,
IKA120,336749,322737,329038,332779,259441,339768,335950,303335,370764,369605,366489,361988,346279,274486,303621
IFE130,236600,243749,262250,264056,186944,251049,284762,258691,247483,246694,211388,225418,256444,271930,227618
IFE126,164383,162921,168956,172135,127459,160030,169359,139562,149398,158757,148364,158349,167489,180987,119859
IFE125,76707,76603,77181,75296,66065,73221,71225,71994,74623,73104,72522,72084,73649,77453,76311
IFE127,20018,21418,23113,22490,16864,21887,23157,22828,21605,15997,20411,15245,18448,23683,17959
