,REGISTRY_COD,INSTALLATION_NAME,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,MAIN_ACTIVITY_TYPE_CODE,COMPLIANCE_CODE,COMPLIANCE_STATUS_LATEST_YEAR,TOTAL_VERIFIED_EMISSIONS,TOTAL_SURRENDERED_ALLOWANCES,YEAR_OF_FIRST_EMISSIONS,YEAR_OF_LAST_EMISSIONS,ACCOUNT_CLOSURE,url_id,lat,lon
34,AT,AMAG casting GmbH,201866,INE266,27,A,2018,364477,364477,2013,NOT SET,OPEN,108239.0,48.226968,13.0323229
35,AT,AMAG rolling GmbH,201868,INE265,28,A,2018,101978,101978,2013,NOT SET,OPEN,108240.0,48.226968,13.0323229
37,AT,Atmosa PSA,205426,ICH264,42,A,2018,170597,170597,2013,NOT SET,OPEN,111229.0,48.1277,16.4638
38,AT,Auersthal,206145,EVS228,99,A,2018,456520,456520,2013,NOT SET,OPEN,111628.0,48.36667,16.63333
40,AT,Baumit Baustoffe Bad Ischl,1,IKA119,30,A,2018,278527,278527,2005,NOT SET,OPEN,93714.0,47.7143986,13.6372787
41,AT,Bernegger Molln Ofen 1,213,IKA208,6,A,2018,0,0,2006,NOT SET,OPEN,93954.0,47.9062638,14.2481123
42,AT,Bernegger Molln Ofen 2,214,IKA244,6,A,2018,0,0,2006,NOT SET,OPEN,93955.0,47.9062638,14.2481123
43,AT,Bernegger Molln Ofen 3,215,IKA245,6,A,2018,0,0,2006,NOT SET,OPEN,93956.0,47.9062638,14.2481123
46,AT,Boehler Schmiedetechnik,205701,IES288,25,A,2018,89211,89212,2013,NOT SET,OPEN,111109.0,47.4438014,15.2854323
47,AT,Borealis Agrolinz Melamine Ammoniakanlage,205363,ICH226,41,A,2018,5143602,5143602,2013,NOT SET,OPEN,111111.0,48.2887055,14.3231985
48,AT,Borealis Agrolinz Melamine Salpetersäureanlage,236,ICH227,38,A,2018,275479,275479,2005,NOT SET,OPEN,93949.0,48.2887055,14.3231985
49,AT,Borealis Schwechat,118,ICH109,42,A,2018,83775,83775,2005,NOT SET,OPEN,93715.0,48.1386927,16.5085712
50,AT,Breitenfelder Edelstahl Mitterdorf,2,IES069,24,A,2018,117319,123705,2005,NOT SET,OPEN,93716.0,47.5345013,15.502833
51,AT,Brigl & Bergmeister Niklasdorf,158,IPA094,36,A,2018,22308,22308,2005,NOT SET,OPEN,93869.0,47.3969047,15.1512174
53,AT,Comelli Ziegel Kirchbach Maxendorf,174,IZI157,32,A,2018,35845,35845,2005,NOT SET,OPEN,93889.0,46.95086879999999,15.6828893
56,AT,Dynea Krems,53,ICH108,42,A,2018,111126,111126,2005,NOT SET,OPEN,93725.0,48.405595,15.6383002
58,AT,ESIM Chemicals GmbH,207647,ICH300,42,A,2018,280179,280179,2016,NOT SET,OPEN,113451.0,48.2887055,14.3231985
60,AT,EVN Baxter Krems,130,ICH115,1,C,2018,NOT CALCULATED,0,2005,NOT SET,OPEN,93836.0,48.4174,15.5625
73,AT,Ernstbrunner Kalktechnik Ernstbrunn,42,IKA118,30,A,2018,161844,161844,2005,NOT SET,OPEN,93734.0,48.5279292,16.3812032
74,AT,Essity Ortmann,169,IPA080,36,A,2018,433013,433013,2005,NOT SET,OPEN,93872.0,47.8948209,15.9717647
91,AT,Feinpapier Feurstein Traun,159,IPA096,36,A,2018,199984,199984,2005,NOT SET,OPEN,93859.0,48.218616,14.243137
92,AT,Frantschach St. Gertraud,160,IPA086,36,A,2018,250568,250568,2005,NOT SET,OPEN,93888.0,46.8627994,14.8640166
98,AT,Gmundner Zement Gmunden,31,IZE077,29,A,2018,1968431,1968431,2005,NOT SET,OPEN,93719.0,47.9167658,13.7707042
99,AT,Herbert Pexider GmbH Teufenbach,109,IZI137,32,A,2014,6821,6821,2005,2014,13-OCT-2015,93751.0,47.1307606,14.3602105
107,AT,Kalkwerk Tagger (Leube) Golling,203,IKA124,30,A,2018,387153,387153,2005,NOT SET,OPEN,93880.0,47.59712820000001,13.1679126
108,AT,Kalkwerk Wopfing,23,IKA121,30,A,2018,621758,621758,2005,NOT SET,OPEN,93809.0,47.87367949999999,16.085401
112,AT,Knauf Werk Weißenbach,205911,ISA273,34,A,2018,170896,170896,2013,NOT SET,OPEN,111670.0,47.5682273,14.2101975
115,AT,Lafarge Perlmooser Mannersdorf,63,IZE072,29,A,2018,3562006,3562006,2005,NOT SET,OPEN,93737.0,47.9828491,16.6096723
116,AT,Lafarge Perlmooser Retznei,61,IZE073,29,A,2018,1823252,1823252,2005,NOT SET,OPEN,93735.0,46.73538629999999,15.5725646
117,AT,Leitl Spannton Eferding,146,IZI149,32,A,2018,90105,90105,2005,NOT SET,OPEN,93853.0,48.2962226,14.0012555
118,AT,"Lenzing AG Faser+Energie 1, Zellstoff, Papier",147,ICH117,35,A,2018,1201491,1201491,2005,NOT SET,OPEN,93854.0,47.9785044,13.6159985
119,AT,Lenzing Papier GmbH,206157,IPA286,36,A,2018,8564,8564,2013,NOT SET,OPEN,111638.0,47.9753394,13.6153359
120,AT,Lias Fehring,121,ISA201,32,A,2018,17644,17644,2005,NOT SET,OPEN,93739.0,46.9393677,16.0185659
121,AT,M-real Hallein,120,IPA089,35,A,2018,7335,7335,2005,NOT SET,OPEN,93749.0,47.6752151,13.1104619
125,AT,Mayr Melnhof Karton Frohnleiten,125,IPA092,36,A,2018,787748,787748,2005,NOT SET,OPEN,93828.0,47.2804127,15.325763
126,AT,Mayr Melnhof Karton Hirschwang,124,IPA095,36,A,2018,158848,158848,2005,NOT SET,OPEN,93827.0,47.70287,15.81747
127,AT,Merckens Schwertberg,161,IPA098,35,A,2018,22481,22481,2005,NOT SET,OPEN,93901.0,48.2987988,14.5788369
128,AT,Mondi Packaging Frohnleiten,144,IPA093,36,A,2013,7995,7995,2005,2013,03-SEP-2014,93851.0,47.2850753,15.3118446
129,AT,Montanwerke Brixlegg AG,202677,INE269,28,A,2018,230750,230750,2013,NOT SET,OPEN,108271.0,47.4291882,11.8741683
