,end_use,carrier_name,Electrifiable
Lighting,end_use_electricity,electricity,1
Air compressors,end_use_electricity,electricity,1
Motor drives,end_use_electricity,electricity,1
Fans and pumps,end_use_electricity,electricity,1
Low enthalpy heat,space_heating,,1
Steel: Sinter/Pellet making,process_heating,,
Steel: Blast /Basic oxygen furnace,process_heating,,
"Steel: Furnaces, Refining and Rolling - Thermal",process_heating,,
"Steel: Furnaces, Refining and Rolling - Electric",end_use_electricity,electricity,
Steel: Products finishing - Thermal,process_heating,,
Steel: Products finishing - Steam,process_heating,,
Steel: Products finishing - Electric,end_use_electricity,electricity,
Steel: Smelters,process_heating,,
Steel: Electric arc,end_use_electricity,electricity,
Alumina production: High enthalpy heat,process_heating,,
Alumina production: Refining,process_heating,,
Aluminium electrolysis (smelting),end_use_electricity,electricity,
Aluminium processing - Thermal,process_heating,,
Aluminium processing - Electric,end_use_electricity,electricity,
Aluminium finishing - Thermal,process_heating,,
Aluminium finishing - Steam,process_heating,,
Aluminium finishing - Electric,end_use_electricity,electricity,
Secondary aluminium - Thermal,process_heating,,
Secondary aluminium - Electric,end_use_electricity,electricity,
Metal production - Thermal,process_heating,,
Metal production - Electric,end_use_electricity,electricity,
Metal processing - Thermal,process_heating,,
Metal processing - Electric,end_use_electricity,electricity,
Metal finishing - Thermal,process_heating,,
Metal finishing - Steam,process_heating,,
Metal finishing - Electric,end_use_electricity,electricity,
Chemicals: Feedstock (energy used as raw material),non_energy_use,,
Chemicals: Steam processing,process_heating,,
Chemicals: Furnaces - Thermal,process_heating,,
Chemicals: Furnaces - Electric,process_heating,electricity,
Chemicals: Process cooling - Natural gas (incl. biogas),end_use_electricity,natural_gas,
Chemicals: Process cooling - Steam,end_use_electricity,,
Chemicals: Process cooling - Electric,end_use_electricity,electricity,
Chemicals: Generic electric process,end_use_electricity,electricity,
High enthalpy heat  processing - Steam,process_heating,,
High enthalpy heat  processing - Electric (microwave),process_heating,electricity,
"Cement: Grinding, milling of raw material",end_use_electricity,electricity,
Cement: pre-processing - Fuel use,process_heating,,
Cement: pre-processing - Steam,process_heating,,
Cement: Clinker production (kilns),process_heating,,
"Cement: Grinding, packaging",end_use_electricity,electricity,
Ceramics: Mixing of raw material,end_use_electricity,electricity,
Ceramics: Thermal drying and sintering,process_heating,,
Ceramics: Steam drying and sintering,process_heating,,
Ceramics: Microwave drying and sintering,process_heating,electricity,
Ceramics: Thermal kiln,process_heating,,
Ceramics: Electric kiln,process_heating,electricity,
Ceramics: Thermal furnace,process_heating,,
Ceramics: Electric furnace,process_heating,electricity,
Glass: Thermal melting tank,process_heating,,
Glass: Electric melting tank,process_heating,electricity,
Glass: Forming,end_use_electricity,electricity,
Glass: Annealing - thermal,process_heating,,
Glass: Annealing - electric,process_heating,electricity,
Glass: Finishing processes,end_use_electricity,electricity,
"Pulp: Wood preparation, grinding",end_use_electricity,electricity,
Pulp: Pulping thermal,process_heating,,
Pulp: Pulping electric,end_use_electricity,electricity,
Pulp: Cleaning,end_use_electricity,electricity,
Paper: Stock preparation - Thermal,process_heating,,
Paper: Stock preparation - Mechanical,end_use_electricity,electricity,
Paper: Paper machine - Steam use,process_heating,,
Paper: Paper machine - Electricity,end_use_electricity,electricity,
Paper: Product finishing - Steam use,process_heating,,
Paper: Product finishing - Electricity,end_use_electricity,electricity,
Printing and publishing,end_use_electricity,electricity,
Food: Direct Heat - Thermal,process_heating,,
Food: Direct Heat - Electric,process_heating,electricity,
Food: Direct Heat - Microwave,process_heating,electricity,
Food: Process Heat - Thermal,process_heating,,
Food: Process Heat - Electric,process_heating,electricity,
Food: Process Heat - Microwave,process_heating,electricity,
Food: Steam processing,process_heating,,
Food: Thermal drying,process_heating,,
Food: Steam drying,process_heating,,
Food: Electric drying,process_heating,electricity,
Food: Freeze drying,end_use_electricity,electricity,
Food: Microwave drying,process_heating,electricity,
Food: Thermal cooling,end_use_electricity,natural_gas,
Food: Steam cooling,end_use_electricity,,
Food: Electric cooling,end_use_electricity,electricity,
Food: Electric machinery,end_use_electricity,electricity,
Trans. Eq.: Thermal Foundries,process_heating,,
Trans. Eq.: Electric Foundries,process_heating,electricity,
Trans. Eq.: Thermal connection,process_heating,,
Trans. Eq.: Electric connection,end_use_electricity,electricity,
Trans. Eq.: Heat treatment - Thermal,process_heating,,
Trans. Eq.: Heat treatment - Electric,process_heating,electricity,
Trans. Eq.: Steam processing,process_heating,,
Trans. Eq.: General machinery,end_use_electricity,electricity,
Trans. Eq.: Product finishing,end_use_electricity,electricity,
Mach. Eq.: Thermal Foundries,process_heating,,
Mach. Eq.: Electric Foundries,process_heating,electricity,
Mach. Eq.: Thermal connection,process_heating,,
Mach. Eq.: Electric connection,end_use_electricity,electricity,
Mach. Eq.: Heat treatment - Thermal,process_heating,,
Mach. Eq.: Heat treatment - Electric,process_heating,electricity,
Mach. Eq.: Steam processing,process_heating,,
Mach. Eq.: General machinery,end_use_electricity,electricity,
Mach. Eq.: Product finishing,end_use_electricity,electricity,
Textiles: Pretreatment with steam,process_heating,,
Textiles: Wet processing with steam,process_heating,,
Textiles: Electric general machinery,end_use_electricity,electricity,
Textiles: Thermal drying,process_heating,,
Textiles: Steam drying,process_heating,,
Textiles: Electric drying,process_heating,electricity,
Textiles: Microwave drying,process_heating,electricity,
Textiles: Finishing Electric,end_use_electricity,electricity,
Wood: Specific processes with steam,process_heating,,
Wood: Electric mechanical processes,end_use_electricity,electricity,
Wood: Thermal drying,process_heating,,
Wood: Steam drying,process_heating,,
Wood: Electric drying,process_heating,electricity,
Wood: Microwave drying,process_heating,electricity,
Wood: Finishing Electric,end_use_electricity,electricity,
Other Industrial sectors: Steam processing,process_heating,,
Other Industrial sectors: Thermal processing,process_heating,,
Other Industrial sectors: Electric processing,end_use_electricity,electricity,
Other Industries: Thermal drying,process_heating,,
Other Industries: Steam drying,process_heating,,
Other Industries: Electric drying,process_heating,electricity,
Other Industries: Thermal cooling,end_use_electricity,natural_gas,
Other Industries: Steam cooling,end_use_electricity,,
Other Industries: Electric cooling,end_use_electricity,electricity,
Other Industrial sectors: Diesel motors (incl. biofuels),end_use_electricity,oil,
Other Industrial sectors: Electric machinery,end_use_electricity,electricity,
