country_code,cat_name,carrier_name,end_use,year,0
AT,Chemical & petrochemical,district_heat,process_heating,2006,0.09830925252182399
AT,Chemical & petrochemical,district_heat,process_heating,2007,0.1709483025806378
AT,Chemical & petrochemical,district_heat,process_heating,2008,0.25164379333946385
AT,Chemical & petrochemical,district_heat,process_heating,2009,0.4574364509381971
AT,Chemical & petrochemical,district_heat,process_heating,2010,0.6829905484977729
AT,Chemical & petrochemical,district_heat,process_heating,2011,0.7037378550146097
AT,Chemical & petrochemical,district_heat,process_heating,2012,0.733105410985472
AT,Chemical & petrochemical,district_heat,process_heating,2013,0.7586467797879605
AT,Chemical & petrochemical,district_heat,process_heating,2014,0.7442514253211284
AT,Chemical & petrochemical,district_heat,process_heating,2015,0.6167251977197353
AT,Chemical & petrochemical,district_heat,process_heating,2016,0.6598771977557276
AT,Chemical & petrochemical,district_heat,process_heating,2017,0.693809525624034
AT,Chemical & petrochemical,district_heat,space_cooling,2006,0.0007404395240730034
AT,Chemical & petrochemical,district_heat,space_cooling,2007,0.0012875378173518102
AT,Chemical & petrochemical,district_heat,space_cooling,2008,0.0018953151064901564
AT,Chemical & petrochemical,district_heat,space_cooling,2009,0.003445291474871727
AT,Chemical & petrochemical,district_heat,space_cooling,2010,0.005144105805949298
AT,Chemical & petrochemical,district_heat,space_cooling,2011,0.00530036908096218
AT,Chemical & petrochemical,district_heat,space_cooling,2012,0.005521557834589346
AT,Chemical & petrochemical,district_heat,space_cooling,2013,0.0057139287298075235
AT,Chemical & petrochemical,district_heat,space_cooling,2014,0.005605506698212645
AT,Chemical & petrochemical,district_heat,space_heating,2005,0.08029481098885445
AT,Chemical & petrochemical,district_heat,space_heating,2006,0.09460672327182684
AT,Chemical & petrochemical,district_heat,space_heating,2007,0.07084448664969593
AT,Chemical & petrochemical,district_heat,space_heating,2008,0.058326350255885936
AT,Chemical & petrochemical,district_heat,space_heating,2009,0.06425236136640972
AT,Chemical & petrochemical,district_heat,space_heating,2010,0.05875787504352289
AT,Chemical & petrochemical,district_heat,space_heating,2011,0.06028928564154782
AT,Chemical & petrochemical,district_heat,space_heating,2012,0.06280520680937793
AT,Chemical & petrochemical,district_heat,space_heating,2013,0.06499333818321745
AT,Chemical & petrochemical,district_heat,space_heating,2014,0.06376008686322143
AT,Chemical & petrochemical,district_heat,space_heating,2015,0.1266351065608501
AT,Chemical & petrochemical,district_heat,space_heating,2016,0.13549571115926154
AT,Chemical & petrochemical,district_heat,space_heating,2017,0.14246319679362246
AT,Chemical & petrochemical,district_heat,water_heating,2005,0.3211792439554178
AT,Chemical & petrochemical,district_heat,water_heating,2006,0.3449970892028068
AT,Chemical & petrochemical,district_heat,water_heating,2007,0.22524742396491582
AT,Chemical & petrochemical,district_heat,water_heating,2008,0.14773458807178816
AT,Chemical & petrochemical,district_heat,water_heating,2009,0.10145937820246374
AT,Chemical & petrochemical,district_heat,water_heating,2010,0.002782352656878422
AT,Chemical & petrochemical,district_heat,water_heating,2011,0.0018529277974440191
AT,Chemical & petrochemical,district_heat,water_heating,2012,0.001930251989056759
AT,Chemical & petrochemical,district_heat,water_heating,2013,0.0019975019059156837
AT,Chemical & petrochemical,district_heat,water_heating,2014,0.001959599223445024
AT,Chemical & petrochemical,district_heat,water_heating,2015,0.0018034736472799006
AT,Chemical & petrochemical,district_heat,water_heating,2016,0.0019296619320785045
AT,Chemical & petrochemical,district_heat,water_heating,2017,0.002028889366481407
AT,Construction,district_heat,space_cooling,2015,0.0002674702126249637
AT,Construction,district_heat,space_cooling,2016,0.0001417397184778691
AT,Construction,district_heat,space_cooling,2017,0.00014264669470966606
AT,Construction,district_heat,space_heating,2005,0.10823978633957917
AT,Construction,district_heat,space_heating,2006,0.11684095926238362
AT,Construction,district_heat,space_heating,2007,0.10346354164379844
AT,Construction,district_heat,space_heating,2008,0.08728312178281326
AT,Construction,district_heat,space_heating,2009,0.13011423864453237
AT,Construction,district_heat,space_heating,2010,0.1017192985254514
AT,Construction,district_heat,space_heating,2011,0.0976429001189128
AT,Construction,district_heat,space_heating,2012,0.10119043817828881
AT,Construction,district_heat,space_heating,2013,0.10637118313355771
AT,Construction,district_heat,space_heating,2014,0.3825955618014672
AT,Construction,district_heat,space_heating,2015,0.2652507108133784
AT,Construction,district_heat,space_heating,2016,0.14198197471475812
AT,Construction,district_heat,space_heating,2017,0.1447086556416678
AT,Construction,district_heat,water_heating,2015,0.0012008523038702012
AT,Construction,district_heat,water_heating,2016,0.0006427792976445089
AT,Construction,district_heat,water_heating,2017,0.0006551152898723827
AT,"Food, beverages & tobacco",district_heat,process_heating,2005,0.1521686446945624
AT,"Food, beverages & tobacco",district_heat,process_heating,2006,0.1612514929491321
AT,"Food, beverages & tobacco",district_heat,process_heating,2007,0.16982225304865714
AT,"Food, beverages & tobacco",district_heat,process_heating,2008,0.18210593496037916
AT,"Food, beverages & tobacco",district_heat,process_heating,2009,0.2839133718524385
AT,"Food, beverages & tobacco",district_heat,process_heating,2010,0.2939071949904293
AT,"Food, beverages & tobacco",district_heat,process_heating,2011,0.28357897871880416
AT,"Food, beverages & tobacco",district_heat,process_heating,2012,0.30662077249397984
AT,"Food, beverages & tobacco",district_heat,process_heating,2013,0.29401967209600444
AT,"Food, beverages & tobacco",district_heat,process_heating,2014,0.31391133146141564
AT,"Food, beverages & tobacco",district_heat,process_heating,2015,0.3614337096812709
AT,"Food, beverages & tobacco",district_heat,process_heating,2016,0.371818873888735
AT,"Food, beverages & tobacco",district_heat,process_heating,2017,0.41375927223913356
AT,"Food, beverages & tobacco",district_heat,space_cooling,2006,7.704775010633933e-05
AT,"Food, beverages & tobacco",district_heat,space_cooling,2007,0.0001621486747029602
AT,"Food, beverages & tobacco",district_heat,space_cooling,2008,0.0002605955900718664
AT,"Food, beverages & tobacco",district_heat,space_cooling,2009,0.000541253545769377
AT,"Food, beverages & tobacco",district_heat,space_cooling,2010,0.0006760323106113084
AT,"Food, beverages & tobacco",district_heat,space_cooling,2011,0.0006752000505975741
AT,"Food, beverages & tobacco",district_heat,space_cooling,2012,0.0007300624462054914
AT,"Food, beverages & tobacco",district_heat,space_cooling,2013,0.0007000592925214217
AT,"Food, beverages & tobacco",district_heat,space_cooling,2014,0.0007474212293688086
AT,"Food, beverages & tobacco",district_heat,space_heating,2005,0.0188233789799383
AT,"Food, beverages & tobacco",district_heat,space_heating,2006,0.02052439610413818
AT,"Food, beverages & tobacco",district_heat,space_heating,2007,0.02222242489472201
AT,"Food, beverages & tobacco",district_heat,space_heating,2008,0.024479771266178164
AT,"Food, beverages & tobacco",district_heat,space_heating,2009,0.03917692078299993
AT,"Food, beverages & tobacco",district_heat,space_heating,2010,0.04142331187795686
AT,"Food, beverages & tobacco",district_heat,space_heating,2011,0.040139465872357054
AT,"Food, beverages & tobacco",district_heat,space_heating,2012,0.04340093927432601
AT,"Food, beverages & tobacco",district_heat,space_heating,2013,0.041617304106052945
AT,"Food, beverages & tobacco",district_heat,space_heating,2014,0.0444328886253556
AT,"Food, beverages & tobacco",district_heat,space_heating,2015,0.00656613124138461
AT,"Food, beverages & tobacco",district_heat,space_heating,2016,0.006754797514958463
AT,"Food, beverages & tobacco",district_heat,space_heating,2017,0.007516724674789559
AT,"Food, beverages & tobacco",district_heat,water_heating,2005,0.005046656913141471
AT,"Food, beverages & tobacco",district_heat,water_heating,2006,0.004535494330230172
AT,"Food, beverages & tobacco",district_heat,water_heating,2007,0.003922435453069948
AT,"Food, beverages & tobacco",district_heat,water_heating,2008,0.003291794613997451
AT,"Food, beverages & tobacco",district_heat,water_heating,2009,0.003708959774444509
AT,"Food, beverages & tobacco",district_heat,water_heating,2010,0.002619291587685999
