country_code,NUTS3_2006,NUTS3_2016,NUTS3_2010,Source,id,Comment
AL,,,,GADM,ALB_1,"Lost from original spreasheet, but we know it's just the country as a whole"
AT,AT322,AT335,AT331,NUTS3,AUT_1,
AT,AT342,AT331,AT212,NUTS3,AUT_1,
AT,AT323,AT323,AT321,NUTS3,AUT_1,
AT,AT335,AT322,AT322,NUTS3,AUT_1,
AT,AT321,AT321,AT323,NUTS3,AUT_1,
AT,AT333,AT332,AT332,NUTS3,AUT_1,
AT,AT211,AT333,AT211,NUTS3,AUT_1,
AT,AT331,AT334,AT334,NUTS3,AUT_1,
AT,AT341,AT342,AT335,NUTS3,AUT_1,
AT,AT212,AT341,AT341,NUTS3,AUT_1,
AT,AT332,AT211,AT342,NUTS3,AUT_1,
AT,AT334,AT212,AT333,NUTS3,AUT_1,
AT,AT314,AT313,AT312,NUTS3,AUT_2,
AT,AT315,AT312,AT311,NUTS3,AUT_2,
AT,AT313,AT311,AT226,NUTS3,AUT_2,
AT,AT312,AT226,AT225,NUTS3,AUT_2,
AT,AT224,AT225,AT224,NUTS3,AUT_2,
AT,AT311,AT224,AT222,NUTS3,AUT_2,
AT,AT223,AT223,AT221,NUTS3,AUT_2,
AT,AT222,AT315,AT213,NUTS3,AUT_2,
AT,AT225,AT213,AT313,NUTS3,AUT_2,
AT,AT226,AT314,AT315,NUTS3,AUT_2,
AT,AT213,AT222,AT223,NUTS3,AUT_2,
AT,AT221,AT221,AT314,NUTS3,AUT_2,
AT,AT111,AT130,AT111,NUTS3,AUT_3,
AT,AT112,AT127,AT127,NUTS3,AUT_3,
AT,AT122,AT126,AT130,NUTS3,AUT_3,
AT,AT123,AT125,AT113,NUTS3,AUT_3,
AT,AT124,AT111,AT121,NUTS3,AUT_3,
AT,AT121,AT122,AT122,NUTS3,AUT_3,
AT,AT130,AT112,AT112,NUTS3,AUT_3,
AT,AT126,AT123,AT124,NUTS3,AUT_3,
AT,AT127,AT124,AT125,NUTS3,AUT_3,
AT,AT125,AT121,AT126,NUTS3,AUT_3,
AT,AT113,AT113,AT123,NUTS3,AUT_3,
BA,,,,GADM,BIH_1,
BE,,,,NUTS0,BEL_1,
BG,,,,NUTS0,BGR_1,
CH,CH040,CH061,CH066,NUTS3,CHE_1,
CH,CH033,CH023,CH065,NUTS3,CHE_1,
CH,CH052,CH025,CH064,NUTS3,CHE_1,
CH,CH031,CH031,CH063,NUTS3,CHE_1,
CH,CH066,CH032,CH061,NUTS3,CHE_1,
CH,CH063,CH033,CH057,NUTS3,CHE_1,
CH,CH064,CH040,CH055,NUTS3,CHE_1,
CH,CH013,CH052,CH053,NUTS3,CHE_1,
CH,CH023,CH054,CH052,NUTS3,CHE_1,
CH,CH024,CH013,CH051,NUTS3,CHE_1,
CH,CH022,CH021,CH054,NUTS3,CHE_1,
CH,CH025,CH022,CH040,NUTS3,CHE_1,
CH,CH057,CH024,CH032,NUTS3,CHE_1,
CH,CH053,CH053,CH031,NUTS3,CHE_1,
CH,CH032,CH066,CH025,NUTS3,CHE_1,
CH,CH054,CH065,CH024,NUTS3,CHE_1,
CH,CH061,CH011,CH023,NUTS3,CHE_1,
CH,CH065,CH063,CH022,NUTS3,CHE_1,
CH,CH055,CH051,CH021,NUTS3,CHE_1,
CH,CH021,CH057,CH033,NUTS3,CHE_1,
CH,CH011,CH055,CH013,NUTS3,CHE_1,
CH,CH051,CH064,CH011,NUTS3,CHE_1,
CH,CH012,CH062,CH070,NUTS3,CHE_2,
CH,CH056,CH070,CH012,NUTS3,CHE_2,
CH,CH062,CH056,CH062,NUTS3,CHE_2,
CH,CH070,CH012,CH056,NUTS3,CHE_2,
CZ,CZ051,CZ041,CZ010,NUTS3,CZE_1,
CZ,CZ052,CZ032,CZ020,NUTS3,CZE_1,
CZ,CZ042,CZ010,CZ031,NUTS3,CZE_1,
CZ,CZ041,CZ020,CZ032,NUTS3,CZE_1,
CZ,CZ032,CZ031,CZ041,NUTS3,CZE_1,
CZ,CZ020,CZ051,CZ042,NUTS3,CZE_1,
CZ,CZ031,CZ052,CZ051,NUTS3,CZE_1,
CZ,CZ010,CZ042,CZ052,NUTS3,CZE_1,
CZ,CZ080,CZ080,CZ071,NUTS3,CZE_2,
CZ,CZ072,CZ063,CZ072,NUTS3,CZE_2,
