from,to,current,type,direction,value,comment
ESP_1,ESP_2,ac,OHL,two-way,7200,
ESP_1,PRT_1,ac,OHL,two-way,1200,
ESP_2,ESP_3,ac,OHL,two-way,19100,
ESP_2,ESP_4,ac,OHL,two-way,2400,
ESP_2,ESP_8,ac,OHL,two-way,2400,
ESP_2,PRT_1,ac,OHL,two-way,950,
ESP_3,ESP_4,ac,OHL,two-way,7100,
ESP_3,ESP_5,ac,OHL,two-way,3900,
ESP_3,ESP_7,ac,OHL,two-way,10200,
ESP_3,ESP_11,ac,OHL,two-way,2700,
ESP_4,ESP_5,ac,OHL,two-way,900,
BEL_1,DEU_3,dc,underground,two-way,2000,"TYNDP_proj: 225,92"
ESP_5,ESP_6,ac,OHL,two-way,7000,
ESP_5,ESP_11,ac,OHL,two-way,5700,
ESP_5,FRA_1,ac,OHL,two-way,100,
ESP_6,ESP_11,ac,OHL,two-way,1100,
BEL_1,GBR_1,dc,subsea,two-way,2400,"TYNDP proj: 121,74"
ESP_7,ESP_8,ac,OHL,two-way,8700,
ESP_7,ESP_11,ac,OHL,two-way,2100,
ESP_8,ESP_9,ac,OHL,two-way,6100,
ESP_8,ESP_10,ac,OHL,two-way,4000,
ESP_8,PRT_2,ac,OHL,two-way,900,
ESP_9,ESP_10,ac,OHL,two-way,8100,
ESP_9,PRT_2,ac,OHL,two-way,500,
ESP_10,ESP_11,ac,OHL,two-way,3200,
PRT_1,PRT_2,ac,OHL,two-way,4000,
FRA_1,FRA_2,ac,OHL,two-way,2000,
FRA_1,FRA_4,ac,OHL,two-way,3000,
FRA_1,FRA_5,ac,OHL,two-way,1100,
FRA_2,FRA_3,ac,OHL,two-way,3500,
FRA_2,FRA_5,ac,OHL,two-way,4500,
FRA_3,FRA_6,ac,OHL,two-way,5200,
FRA_3,FRA_7,ac,OHL,two-way,450,
FRA_4,FRA_5,ac,OHL,two-way,4200,
FRA_4,FRA_8,ac,OHL,two-way,5400,
FRA_4,FRA_9,ac,OHL,two-way,250,
FRA_5,FRA_6,ac,OHL,two-way,2200,
FRA_5,FRA_10,ac,OHL,two-way,10000,
FRA_5,FRA_11,ac,OHL,two-way,125,
FRA_6,FRA_7,ac,OHL,two-way,6000,
FRA_6,FRA_11,ac,OHL,two-way,2500,
CHE_2,ITA_1,ac,OHL-mountain,two-way,7500,
CHE_2,ITA_1,dc,underground,two-way,1000,TYNDP proj: 174
FRA_7,FRA_11,ac,OHL,two-way,3000,
FRA_7,FRA_12,ac,OHL,two-way,1150,
FRA_7,CHE_1,ac,OHL,two-way,4300,
FRA_7,CHE_2,ac,OHL,two-way,1300,
FRA_7,ITA_1,ac,OHL-mountain,two-way,4800,
FRA_8,FRA_9,ac,OHL,two-way,7000,
CYP_1,GRC_2,dc,subsea,two-way,2000,TYNDP proj: 219
FRA_9,FRA_10,ac,OHL,two-way,2400,
FRA_9,FRA_13,ac,OHL,two-way,3200,
DEU_1,DEU_3,ac,OHL,two-way,15330,
DEU_1,DEU_3,dc,OHL,two-way,2000,TYNDP proj: 132
FRA_10,FRA_11,ac,OHL,two-way,3500,
FRA_10,FRA_12,ac,OHL,two-way,4000,
FRA_10,FRA_13,ac,OHL,two-way,17900,
FRA_10,FRA_14,ac,OHL,two-way,1100,
FRA_11,FRA_12,ac,OHL,two-way,4200,
FRA_12,FRA_14,ac,OHL,two-way,3500,
FRA_12,BEL_1,ac,OHL,two-way,400,
