section,vehicle_type,vehicle_subtype,country_code,unit,year,0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2000,78.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2001,73.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2002,73.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2003,88.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2004,100.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2005,112.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2006,127.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2007,146.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2008,159.71206479251944
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2009,165.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2010,214.49849536488378
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2011,252.37416050481943
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2012,230.86814268435916
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2013,206.52415784094734
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2014,211.3762244159724
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,mio_km,2015,228.0654146313828
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2000,8532.028980112842
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2001,8598.573240101487
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2002,8311.147787261163
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2003,8441.482666833948
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2004,8349.307343053522
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2005,8132.884845304182
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2006,7947.556741182514
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2007,7990.460233214249
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2008,7808.96310149257
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2009,7726.241690175207
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2010,7373.539845761318
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2011,7114.6447470133235
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2012,6823.268590777673
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2013,6559.2208128257635
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2014,6444.950648563322
Passenger transport,Passenger cars,Gasoline engine,SI,mio_km,2015,6343.943528944144
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2000,2050.855824725575
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2001,2233.9421907296073
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2002,3077.3121455091486
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2003,3138.541153569529
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2004,3833.0748739373857
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2005,4458.68543052431
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2006,5091.653515350172
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2007,6034.851520267991
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2008,6681.388191778468
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2009,7459.039402645531
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2010,7855.805365899759
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2011,8177.435225423897
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2012,8514.384055871911
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2013,8826.01778511517
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2014,9423.39475792798
Passenger transport,Passenger cars,Diesel oil engine,SI,mio_km,2015,9833.044456107928
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2000,0.0
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2001,0.0
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2002,0.0
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2003,0.0
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2004,0.0
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2005,0.0
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2006,9.615788913988682
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2007,23.387849201185062
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2008,19.60654331046377
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2009,57.697291385337465
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2010,70.31794077167967
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2011,79.89474981761147
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2012,103.84523820738225
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2013,148.3167247421404
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2014,156.69965624198568
Passenger transport,Passenger cars,LPG engine,SI,mio_km,2015,167.67895969172255
Passenger transport,Passenger cars,Natural gas engine,SI,mio_km,2000,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,mio_km,2001,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,mio_km,2002,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,mio_km,2003,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,mio_km,2004,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,mio_km,2005,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,mio_km,2006,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,mio_km,2007,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,mio_km,2008,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,mio_km,2009,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,mio_km,2010,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,mio_km,2011,0.0
