section,vehicle_type,carrier,country_code,unit,year,0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2000,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2001,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2002,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2003,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2004,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2005,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2006,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2007,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2008,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2009,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2010,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2011,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2012,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2013,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2014,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,mio_km,2015,0.0
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2000,2.7707999999999995
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2001,3.1324999999999994
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2002,3.9405999999999994
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2003,3.7187999999999994
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2004,3.8106
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2005,3.7467
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2006,3.9740900000000003
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2007,4.077999999999999
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2008,3.47905
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2009,3.43825
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2010,3.51305
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2011,4.0128900000000005
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2012,3.6711000000000005
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2013,3.9654276967405004
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2014,4.094980547759605
Passenger transport,Conventional passenger trains,diesel,SI,mio_km,2015,4.333875760830648
Passenger transport,Conventional passenger trains,electricity,SI,mio_km,2000,8.172200000000002
Passenger transport,Conventional passenger trains,electricity,SI,mio_km,2001,8.400500000000001
