section,vehicle_type,carrier,country_code,unit,year,0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2000,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2001,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2002,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2003,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2004,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2005,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2006,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2007,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2008,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2009,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2010,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2011,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2012,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2013,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2014,0.0
Passenger transport,"Metro and tram, urban light rail",electricity,SI,twh,2015,0.0
Passenger transport,Conventional passenger trains,diesel,SI,twh,2000,0.09193980463669116
Passenger transport,Conventional passenger trains,diesel,SI,twh,2001,0.09184448993475028
Passenger transport,Conventional passenger trains,diesel,SI,twh,2002,0.09984911703744002
Passenger transport,Conventional passenger trains,diesel,SI,twh,2003,0.09375398187716032
Passenger transport,Conventional passenger trains,diesel,SI,twh,2004,0.09418920728213309
Passenger transport,Conventional passenger trains,diesel,SI,twh,2005,0.0900363063272342
Passenger transport,Conventional passenger trains,diesel,SI,twh,2006,0.0933496567321985
Passenger transport,Conventional passenger trains,diesel,SI,twh,2007,0.09353175876038758
Passenger transport,Conventional passenger trains,diesel,SI,twh,2008,0.07817142133050152
Passenger transport,Conventional passenger trains,diesel,SI,twh,2009,0.0725354417523237
Passenger transport,Conventional passenger trains,diesel,SI,twh,2010,0.0696876301532281
Passenger transport,Conventional passenger trains,diesel,SI,twh,2011,0.0789668802043277
Passenger transport,Conventional passenger trains,diesel,SI,twh,2012,0.07077487833444392
Passenger transport,Conventional passenger trains,diesel,SI,twh,2013,0.07590057343852279
Passenger transport,Conventional passenger trains,diesel,SI,twh,2014,0.07800439799615524
Passenger transport,Conventional passenger trains,diesel,SI,twh,2015,0.0795818112574456
Passenger transport,Conventional passenger trains,electricity,SI,twh,2000,0.14083066178290282
Passenger transport,Conventional passenger trains,electricity,SI,twh,2001,0.13924121274402496
Passenger transport,Conventional passenger trains,electricity,SI,twh,2002,0.10347808153769512
Passenger transport,Conventional passenger trains,electricity,SI,twh,2003,0.10692882636579668
Passenger transport,Conventional passenger trains,electricity,SI,twh,2004,0.10650007958534383
Passenger transport,Conventional passenger trains,electricity,SI,twh,2005,0.10351905500460357
Passenger transport,Conventional passenger trains,electricity,SI,twh,2006,0.09920981365750481
Passenger transport,Conventional passenger trains,electricity,SI,twh,2007,0.09267560451081419
Passenger transport,Conventional passenger trains,electricity,SI,twh,2008,0.09533380301764935
Passenger transport,Conventional passenger trains,electricity,SI,twh,2009,0.09388310890319555
Passenger transport,Conventional passenger trains,electricity,SI,twh,2010,0.09342324352941349
Passenger transport,Conventional passenger trains,electricity,SI,twh,2011,0.08619955609115353
Passenger transport,Conventional passenger trains,electricity,SI,twh,2012,0.08412654599068693
Passenger transport,Conventional passenger trains,electricity,SI,twh,2013,0.0726671404539022
Passenger transport,Conventional passenger trains,electricity,SI,twh,2014,0.061142143474049164
Passenger transport,Conventional passenger trains,electricity,SI,twh,2015,0.06656944935841344
Passenger transport,High speed passenger trains,electricity,SI,twh,2000,0.0
Passenger transport,High speed passenger trains,electricity,SI,twh,2001,0.0
Passenger transport,High speed passenger trains,electricity,SI,twh,2002,0.0
Passenger transport,High speed passenger trains,electricity,SI,twh,2003,0.0
Passenger transport,High speed passenger trains,electricity,SI,twh,2004,0.0
Passenger transport,High speed passenger trains,electricity,SI,twh,2005,0.0
Passenger transport,High speed passenger trains,electricity,SI,twh,2006,0.0
Passenger transport,High speed passenger trains,electricity,SI,twh,2007,0.0
Passenger transport,High speed passenger trains,electricity,SI,twh,2008,0.0017061707293952958
Passenger transport,High speed passenger trains,electricity,SI,twh,2009,0.0018738569618064122
Passenger transport,High speed passenger trains,electricity,SI,twh,2010,0.0017607174026960264
Passenger transport,High speed passenger trains,electricity,SI,twh,2011,0.0015186499133363219
Passenger transport,High speed passenger trains,electricity,SI,twh,2012,0.0013884219848811572
Passenger transport,High speed passenger trains,electricity,SI,twh,2013,0.00122693782761306
Passenger transport,High speed passenger trains,electricity,SI,twh,2014,0.0008864864998405627
Passenger transport,High speed passenger trains,electricity,SI,twh,2015,0.0006699620787934421
Freight transport,Freight,diesel,SI,twh,2000,0.03916933451667443
Freight transport,Freight,diesel,SI,twh,2001,0.03955497166524971
Freight transport,Freight,diesel,SI,twh,2002,0.04319709176255995
Freight transport,Freight,diesel,SI,twh,2003,0.0492879238228397
Freight transport,Freight,diesel,SI,twh,2004,0.048851535417866895
Freight transport,Freight,diesel,SI,twh,2005,0.053015271837297366
Freight transport,Freight,diesel,SI,twh,2006,0.048545414667801524
Freight transport,Freight,diesel,SI,twh,2007,0.04835796283961244
Freight transport,Freight,diesel,SI,twh,2008,0.0399976359694985
Freight transport,Freight,diesel,SI,twh,2009,0.034453696547676334
Freight transport,Freight,diesel,SI,twh,2010,0.03681028715497579
Freight transport,Freight,diesel,SI,twh,2011,0.039365885056620704
Freight transport,Freight,diesel,SI,twh,2012,0.03572973746678255
Freight transport,Freight,diesel,SI,twh,2013,0.042432781378540875
Freight transport,Freight,diesel,SI,twh,2014,0.07573850418014237
Freight transport,Freight,diesel,SI,twh,2015,0.06236038474819748
Freight transport,Freight,electricity,SI,twh,2000,0.12417773941101397
Freight transport,Freight,electricity,SI,twh,2001,0.11545334495597503
Freight transport,Freight,electricity,SI,twh,2002,0.06863324176230488
Freight transport,Freight,electricity,SI,twh,2003,0.07216898683420331
Freight transport,Freight,electricity,SI,twh,2004,0.08307706141465615
Freight transport,Freight,electricity,SI,twh,2005,0.09453630752985696
Freight transport,Freight,electricity,SI,twh,2006,0.09851763134249518
Freight transport,Freight,electricity,SI,twh,2007,0.10270839548918581
Freight transport,Freight,electricity,SI,twh,2008,0.09948551075295535
Freight transport,Freight,electricity,SI,twh,2009,0.060098176034998035
Freight transport,Freight,electricity,SI,twh,2010,0.07787091289033814
Freight transport,Freight,electricity,SI,twh,2011,0.07617407735510959
Freight transport,Freight,electricity,SI,twh,2012,0.07337788223578534
Freight transport,Freight,electricity,SI,twh,2013,0.07999746100634708
Freight transport,Freight,electricity,SI,twh,2014,0.074080004395113
Freight transport,Freight,electricity,SI,twh,2015,0.08470843314668157
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2000,0.019697313164440535
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2001,0.022294043388695055
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2002,0.02092638118518551
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2003,0.022941709505074525
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2004,0.020572162226988006
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2005,0.01985448982296281
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2006,0.020262453378108624
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2007,0.019939863145494792
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2008,0.02169488699450448
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2009,0.030621121827474333
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2010,0.0398007174718862
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2011,0.03753299737853015
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2012,0.04420659299917523
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2013,0.04335186350632961
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2014,0.031046129458935777
Passenger transport,"Metro and tram, urban light rail",electricity,BG,twh,2015,0.031624474243231754
Passenger transport,Conventional passenger trains,diesel,BG,twh,2000,0.24178032526457194
Passenger transport,Conventional passenger trains,diesel,BG,twh,2001,0.20395567196521536
Passenger transport,Conventional passenger trains,diesel,BG,twh,2002,0.18245780146694632
Passenger transport,Conventional passenger trains,diesel,BG,twh,2003,0.14587166869788384
Passenger transport,Conventional passenger trains,diesel,BG,twh,2004,0.14978206770244537
Passenger transport,Conventional passenger trains,diesel,BG,twh,2005,0.1647434458110481
Passenger transport,Conventional passenger trains,diesel,BG,twh,2006,0.16969915990834847
Passenger transport,Conventional passenger trains,diesel,BG,twh,2007,0.14657730505675462
Passenger transport,Conventional passenger trains,diesel,BG,twh,2008,0.1807325316686938
Passenger transport,Conventional passenger trains,diesel,BG,twh,2009,0.1377616006864423
Passenger transport,Conventional passenger trains,diesel,BG,twh,2010,0.1424831559765084
Passenger transport,Conventional passenger trains,diesel,BG,twh,2011,0.11859577312542531
Passenger transport,Conventional passenger trains,diesel,BG,twh,2012,0.16170620329297575
Passenger transport,Conventional passenger trains,diesel,BG,twh,2013,0.1258125480938311
Passenger transport,Conventional passenger trains,diesel,BG,twh,2014,0.09983266396971471
Passenger transport,Conventional passenger trains,diesel,BG,twh,2015,0.09211923432541443
Passenger transport,Conventional passenger trains,electricity,BG,twh,2000,0.27426598682059666
Passenger transport,Conventional passenger trains,electricity,BG,twh,2001,0.2681096523375279
Passenger transport,Conventional passenger trains,electricity,BG,twh,2002,0.2678256762209039
Passenger transport,Conventional passenger trains,electricity,BG,twh,2003,0.25810307992492637
Passenger transport,Conventional passenger trains,electricity,BG,twh,2004,0.24624462861461535
Passenger transport,Conventional passenger trains,electricity,BG,twh,2005,0.21992771777004133
Passenger transport,Conventional passenger trains,electricity,BG,twh,2006,0.2117113568790477
Passenger transport,Conventional passenger trains,electricity,BG,twh,2007,0.20987427513620438
