section,vehicle_type,vehicle_subtype,carrier,country_code,unit,year,0
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2000,0.040761540418383695
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2001,0.03805324778793226
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2002,0.039878042985289894
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2003,0.04552557158709999
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2004,0.05143442238623998
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2005,0.05719842941471336
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2006,0.06398481622058932
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2007,0.07064065830930354
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2008,0.0753405671840873
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2009,0.07651262895144864
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2010,0.09828980567663162
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2011,0.11477018980859521
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2012,0.10406753970367302
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2013,0.09182127399512191
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2014,0.0926304170919973
Passenger transport,Powered 2-wheelers,Gasoline engine,petrol,SI,twh,2015,0.09837416632637855
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2000,0.0
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2001,0.0
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2002,0.0
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2003,0.0
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2004,0.0
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2005,0.0
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2006,0.0
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2007,6.580442155794096e-05
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2008,0.0002909001003325239
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2009,0.0003236518778783242
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2010,0.0007080229383753521
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2011,0.0009979905079126811
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2012,0.001186639376059546
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2013,0.0014570449412998475
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2014,0.0015731766538326717
Passenger transport,Powered 2-wheelers,Gasoline engine,biofuels,SI,twh,2015,0.0014686726482573925
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2000,9.892817113966352
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2001,9.8003979937434
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2002,9.38254676790846
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2003,9.15104020561744
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2004,8.112250772553676
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2005,7.970516836448
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2006,7.585249275045172
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2007,7.331459625514012
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2008,7.672142548128262
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2009,6.9938353695844295
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2010,6.810737541927342
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2011,6.58997613071984
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2012,5.946162730697755
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2013,5.410189359589406
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2014,5.047394453328097
Passenger transport,Passenger cars,Gasoline engine,petrol,SI,twh,2015,4.921913074191343
Passenger transport,Passenger cars,Gasoline engine,biofuels,SI,twh,2000,0.0
Passenger transport,Passenger cars,Gasoline engine,biofuels,SI,twh,2001,0.0
Passenger transport,Passenger cars,Gasoline engine,biofuels,SI,twh,2002,0.0
Passenger transport,Passenger cars,Gasoline engine,biofuels,SI,twh,2003,0.0
