section,vehicle_type,vehicle_subtype,country_code,unit,year,0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2000,41559.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2001,42317.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2002,43265.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2003,44516.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2004,46367.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2005,48671.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2006,53193.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2007,71493.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2008,81996.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2009,88428.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2010,91008.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2011,92183.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2012,93100.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2013,92986.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2014,95796.0
Passenger transport,Powered 2-wheelers,Gasoline engine,SI,N. vehicles,2015,100216.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2000,805000.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2001,813890.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2002,798289.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2003,795000.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2004,769799.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2005,780572.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2006,768137.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2007,760599.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2008,756774.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2009,738183.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2010,717435.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2011,700961.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2012,678313.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2013,655470.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2014,635412.0
Passenger transport,Passenger cars,Gasoline engine,SI,N. vehicles,2015,621991.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2000,114000.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2001,122110.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2002,167311.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2003,164000.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2004,192201.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2005,230428.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2006,262363.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2007,303227.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2008,338404.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2009,368768.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2010,391607.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2011,412376.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2012,433238.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2013,451441.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2014,475531.0
Passenger transport,Passenger cars,Diesel oil engine,SI,N. vehicles,2015,498945.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2000,0.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2001,0.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2002,0.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2003,0.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2004,0.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2005,0.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2006,500.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2007,1174.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2008,1002.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2009,2907.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2010,3608.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2011,4151.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2012,5444.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2013,7816.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2014,8147.0
Passenger transport,Passenger cars,LPG engine,SI,N. vehicles,2015,8766.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2000,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2001,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2002,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2003,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2004,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2005,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2006,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2007,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2008,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2009,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2010,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2011,0.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2012,5.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2013,26.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2014,120.0
Passenger transport,Passenger cars,Natural gas engine,SI,N. vehicles,2015,157.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2000,0.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2001,0.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2002,0.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2003,0.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2004,0.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2005,0.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2006,0.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2007,0.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2008,0.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2009,0.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2010,0.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2011,0.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2012,0.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2013,13.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2014,20.0
Passenger transport,Passenger cars,Plug-in hybrid electric,SI,N. vehicles,2015,47.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2000,0.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2001,0.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2002,0.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2003,0.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2004,0.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2005,0.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2006,0.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2007,0.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2008,0.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2009,0.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2010,0.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2011,12.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2012,30.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2013,34.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2014,130.0
Passenger transport,Passenger cars,Battery electric vehicles,SI,N. vehicles,2015,288.0
Passenger transport,"Motor coaches, buses and trolley buses",Gasoline engine,SI,N. vehicles,2000,34.0
Passenger transport,"Motor coaches, buses and trolley buses",Gasoline engine,SI,N. vehicles,2001,32.0
Passenger transport,"Motor coaches, buses and trolley buses",Gasoline engine,SI,N. vehicles,2002,30.0
Passenger transport,"Motor coaches, buses and trolley buses",Gasoline engine,SI,N. vehicles,2003,27.0
Passenger transport,"Motor coaches, buses and trolley buses",Gasoline engine,SI,N. vehicles,2004,24.0
Passenger transport,"Motor coaches, buses and trolley buses",Gasoline engine,SI,N. vehicles,2005,22.0
Passenger transport,"Motor coaches, buses and trolley buses",Gasoline engine,SI,N. vehicles,2006,19.0
Passenger transport,"Motor coaches, buses and trolley buses",Gasoline engine,SI,N. vehicles,2007,17.0
Passenger transport,"Motor coaches, buses and trolley buses",Gasoline engine,SI,N. vehicles,2008,14.0
Passenger transport,"Motor coaches, buses and trolley buses",Gasoline engine,SI,N. vehicles,2009,12.0
Passenger transport,"Motor coaches, buses and trolley buses",Gasoline engine,SI,N. vehicles,2010,10.0
