Link_from,Link_to,"('GTC', 'AC')","('GTC', 'DC')",project
ESP_1,ESP_2,7200.0,,
ESP_1,PRT_1,1200.0,,
ESP_2,ESP_3,19100.0,,
ESP_2,ESP_4,2400.0,,
ESP_2,ESP_8,2400.0,,
ESP_2,PRT_1,950.0,,
ESP_3,ESP_4,7100.0,,
ESP_3,ESP_5,3900.0,,
ESP_3,ESP_7,10200.0,,
ESP_3,ESP_11,2700.0,,
ESP_4,ESP_5,900.0,,
ESP_4,FRA_1,1000.0,1000.0,
ESP_5,ESP_6,7000.0,,
ESP_5,ESP_11,5700.0,,
ESP_5,FRA_1,100.0,,
ESP_6,ESP_11,1100.0,,
ESP_6,FRA_2,1000.0,800.0,
ESP_7,ESP_8,8700.0,,
ESP_7,ESP_11,2100.0,,
ESP_8,ESP_9,6100.0,,
ESP_8,ESP_10,4000.0,,
ESP_8,PRT_2,900.0,,
ESP_9,ESP_10,8100.0,,
ESP_9,PRT_2,500.0,,
ESP_10,ESP_11,3200.0,,
PRT_1,PRT_2,4000.0,,
FRA_1,FRA_2,2000.0,,
FRA_1,FRA_4,3000.0,,
FRA_1,FRA_5,1100.0,,
FRA_2,FRA_3,3500.0,,
FRA_2,FRA_5,4500.0,,
FRA_3,FRA_6,5200.0,,
FRA_3,FRA_7,450.0,,
FRA_4,FRA_5,4200.0,,
FRA_4,FRA_8,5400.0,,
FRA_4,FRA_9,250.0,,
FRA_5,FRA_6,2200.0,,
FRA_5,FRA_10,10000.0,,
FRA_5,FRA_11,125.0,,
FRA_6,FRA_7,6000.0,,
FRA_6,FRA_11,2500.0,,
FRA_6,ITA_1,,1000.0,
FRA_7,FRA_11,3000.0,,
FRA_7,FRA_12,1150.0,,
FRA_7,CHE_1,4300.0,,
FRA_7,CHE_2,1300.0,,
FRA_7,ITA_1,4800.0,,
FRA_8,FRA_9,7000.0,,
FRA_8,IRL_1,,700.0,
FRA_9,FRA_10,2400.0,,
FRA_9,FRA_13,3200.0,,
FRA_9,GBR_1,,1000.0,
FRA_10,FRA_11,3500.0,,
FRA_10,FRA_12,4000.0,,
FRA_10,FRA_13,17900.0,,
FRA_10,FRA_14,1100.0,,
FRA_11,FRA_12,4200.0,,
FRA_12,FRA_14,3500.0,,
FRA_12,BEL_1,400.0,,
FRA_12,DEU_5,2100.0,,
FRA_12,DEU_6,800.0,1000.0,
FRA_12,CHE_1,3900.0,,
FRA_13,FRA_14,4900.0,,
FRA_13,BEL_1,2900.0,,
FRA_13,GBR_1,,2000.0,
FRA_14,BEL_1,1300.0,,
BEL_1,LUX_1,700.0,,
BEL_1,NLD_1,3500.0,,
BEL_1,DEU_3,,1000.0,
BEL_1,GBR_1,,1000.0,
LUX_1,DEU_5,2900.0,,
NLD_1,DEU_1,1400.0,,
NLD_1,DEU_3,7100.0,,
NLD_1,DNK_1,,700.0,
NLD_1,NOR_1,,700.0,
NLD_1,GBR_1,,1000.0,
DEU_1,DEU_2,5400.0,,
DEU_1,DEU_3,15330.0,2000.0,
DEU_1,DEU_5,4300.0,2000.0,
DEU_1,DEU_6,,2000.0,
DEU_1,DEU_7,,4000.0,
DEU_1,DNK_1,3000.0,,
DEU_1,NOR_1,,1400.0,
DEU_1,SWE_4,,1200.0,
DEU_2,DEU_4,9300.0,,
DEU_2,POL_4,3400.0,,
DEU_2,DNK_2,,600.0,
DEU_3,DEU_5,19050.0,,
DEU_3,DEU_6,,2000.0,
DEU_4,DEU_5,2600.0,,
DEU_4,DEU_7,12840.0,2000.0,
DEU_4,CZE_1,1700.0,,
DEU_4,POL_4,1700.0,,
DEU_5,DEU_6,7700.0,,
DEU_5,DEU_7,6130.0,,
DEU_6,DEU_7,7500.0,,
DEU_6,CHE_1,6000.0,,
DEU_6,AUT_1,2800.0,,
DEU_7,CZE_1,2000.0,,
DEU_7,AUT_1,2500.0,,
DEU_7,AUT_2,5500.0,,
DNK_1,DNK_2,,600.0,
DNK_1,NOR_1,,1700.0,
DNK_1,SWE_3,,740.0,
CZE_1,CZE_2,7600.0,,
CZE_2,POL_3,2100.0,,
CZE_2,SVK_1,2700.0,,
CZE_2,AUT_3,2100.0,,
POL_1,POL_2,4700.0,,
POL_1,POL_3,4900.0,,
POL_1,POL_4,3400.0,,
POL_1,POL_5,4400.0,,
POL_1,LTU_1,1000.0,,
POL_2,POL_3,4300.0,,
POL_2,SVK_1,600.0,,
POL_3,POL_4,4000.0,,
POL_4,POL_5,8900.0,,
POL_5,SWE_4,,600.0,
SVK_1,HUN_1,5400.0,,
CHE_1,CHE_2,19800.0,,
CHE_1,AUT_1,900.0,,
CHE_2,AUT_1,1500.0,,
CHE_2,ITA_1,7500.0,1000.0,
AUT_1,AUT_2,6300.0,,
AUT_1,ITA_1,2300.0,,
AUT_2,AUT_3,6100.0,,
AUT_2,SVN_1,1600.0,,
AUT_3,HUN_1,1600.0,,
ITA_1,ITA_2,2200.0,,
ITA_1,SVN_1,2600.0,1000.0,
ITA_2,ITA_3,2000.0,,
ITA_2,HRV_1,,1000.0,
ITA_2,FRA_15,,300.0,
ITA_3,ITA_4,10000.0,,
ITA_3,MNE_1,,1000.0,
ITA_3,ITA_6,,700.0,
ITA_4,ITA_5,1100.0,,
ITA_4,GRC_1,,1000.0,
ITA_4,ALB_1,,1000.0,
SVN_1,HUN_1,900.0,,
SVN_1,HRV_1,3400.0,,
HUN_1,ROU_1,1400.0,,
HUN_1,HRV_1,2300.0,,
HUN_1,SRB_1,700.0,,
ROU_1,ROU_2,3500.0,,
ROU_1,ROU_3,900.0,,
ROU_2,ROU_3,4700.0,,
ROU_2,SRB_1,2500.0,,
ROU_2,BGR_1,800.0,,
ROU_3,BGR_1,900.0,,
HRV_1,BIH_1,4000.0,,
HRV_1,SRB_1,700.0,,
BIH_1,MNE_1,1400.0,,
BIH_1,SRB_1,3100.0,,
MNE_1,SRB_1,2900.0,,
MNE_1,ALB_1,900.0,,
SRB_1,BGR_1,900.0,,
SRB_1,MKD_1,1900.0,,
SRB_1,ALB_1,900.0,,
BGR_1,MKD_1,700.0,,
BGR_1,GRC_1,500.0,,
